name,price,rpm,color,size,
Vetroo V5,27.99,"8,001,700",White,,
Thermalright Burst Assassin ARGB,22.9,1550,Black / Silver,,
Cooler Master MasterAir MA824 Stealth,99.99,,Black,,
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,,"8,001,900",Black / Silver,360,
Thermalright Peerless Assassin 120 White ARGB,39.29,1550,White,,
MSI MAG CORELIQUID E360 WHITE,139,,White,360,
MSI MAG CORELIQUID C360,143,"5,002,000",Black,360,
Corsair iCUE H150i ELITE CAPELLIX,349.78,2400,White,360,
Scythe Mugen 5 Rev. B,,"3,001,200",Silver / Black,,
NZXT Kraken Z53,229.99,"5,002,000",Black,240,
EK AIO Basic 360,113.82,"5,502,200",Black,360,
Cooler Master Hyper H412R,40.99,"6,002,000",Black,,
ID-COOLING SE-224-XTS BLACK,29.99,"6,001,500",Black,,
Gigabyte AORUS WATERFORCE X II 360 ICE,289.99,"8,002,400",White,360,
ARCTIC Liquid Freezer III A-RGB,136.25,"2,001,900",White,420,
Zalman CNPS10X Performa,19.99,"7,001,500",Black,,
Vetroo V360,84.59,"8,001,800",White,360,
ARCTIC Alpine 23,11.99,"1,002,000",White / Black,,
IceGiant ProSiphon Elite,169.99,"3,002,300",Black,,
MSI MAG CORELIQUID M360,89,"5,002,000",Black,360,
NZXT Kraken 280 RGB,159.99,"5,001,500",Black,280,
Thermalright Assassin X Refined SE ARGB V2,19.89,1550,Black / Silver,,
NZXT T120,55.49,"5,001,800",Black,,
Thermalright Frozen Prism,46.9,1850,Black,240,
be quiet! Pure Loop 240,99.9,,Black,240,
Thermaltake UX200 SE ARGB,34.98,"8,001,800",White,,
ARCTIC Freezer 34 eSports DUO,57.55,"2,002,100",White / Gray,,
ID-COOLING DASHFLOW BASIC,79.98,"7,001,800",Black,360,
Vetroo V240,59.99,1800,White / Gray,240,
Thermalright Aqua Elite V3,39.9,1500,Black,120,
NZXT Kraken X73,,"5,002,000",Black,360,
Corsair H100i RGB PLATINUM,,2400,Black / Silver,240,
Corsair iCUE LINK H100i RGB,149.99,"4,802,400",Black,240,
ARCTIC Freezer 34 eSports DUO,45.99,"2,002,100",Red / Black,,
Cooler Master MasterLiquid 360 Atmos,134.99,"6,902,500",Black,360,
be quiet! Shadow Rock 3,47.9,1600,Black,,
Lian Li Galahad II Trinity SL-INF,124.99,2100,Black,240,
ENDORFY Fera 5,49.36,"2,501,800",Black / Silver,,
Asus ROG STRIX LC II ARGB,114.99,"8,002,500",Black,240,
Noctua NH-D9L chromax.black,74.9,"4,002,000",Black,,
Deepcool AK500S DIGITAL,51.98,"5,001,850",Black,,
Deepcool MYSTIQUE,149.99,"5,002,150",Black,240,
EK AIO Elite 360 D-RGB,106.99,"5,502,200",Black,360,
EK EK-Nucleus AIO CR360 Lux D-RGB,163.99,"5,502,300",White,360,
Corsair iCUE H170i ELITE CAPELLIX XT,204.99,"5,001,700",Black,420,
Thermalright AXP120-X67,29.9,1800,White,,
Thermalright Assassin King SE ARGB,19.29,1550,Silver / Gray,,
Thermalright Frozen Edge,62.9,2150,Black,360,
Thermaltake Gravity i2,11.99,1800,,,
Lian Li Galahad II Trinity SL-INF,129.99,2100,White,240,
EK EK-Nucleus AIO CR240 Lux D-RGB,119.99,"5,502,300",Black,240,
MSI MAG CORELIQUID M240,69,"5,002,000",Black,240,
Corsair iCUE H150i RGB PRO XT,203.1,2400,Black / White,360,
Corsair iCUE H100i RGB PRO XT,229.99,2400,Black,240,
Noctua NH-L12 Ghost S1,64.9,"3,001,600",Silver / Beige,,
Lian Li Galahad II LCD,229.99,"3,002,450",White,360,
Cooler Master MasterLiquid ML240L ARGB V2,99.99,"6,501,800",White,240,
Asus TUF GAMING LC 240 ARGB,86.99,"8,002,000",Black,240,
Thermaltake TH360 V2 ARGB Sync,129.99,"5,002,000",White,360,
MSI MAG CORELIQUID P360,168.17,"5,002,000",Black,360,
ID-COOLING IS-67-XT,34.99,"5,002,200",Black,,
Thermaltake Contact 9 SE,15.99,"8,002,000",Black / Silver,,
Asus ROG STRIX LC II 280 ARGB,89.99,"7,002,100",Black,280,
EK AIO Basic 240,107.62,"5,502,200",Black,240,
Thermalright AXP90-X53,23.9,2700,Gray,,
Deepcool Assassin 4S,79.99,"5,001,800",White,,
ID-COOLING PINKFLOW,99.99,"9,002,000",White / Pink,240,
ID-COOLING DASHFLOW BASIC,79.98,"7,001,800",White,360,
Deepcool LD360,119.99,"6,002,400",Black,360,
Deepcool LE520,,"5,002,250",White,240,
Corsair iCUE LINK H100i RGB,159.99,"4,802,400",White,240,
MSI MAG CORELIQUID 240R V2,94,"5,002,000",White,240,
be quiet! Pure Loop 2,104.9,,Black,360,
NZXT Kraken M22,79.99,"5,002,000",Black,120,
Enermax Liqmax III 360 ARGB,89.99,"5,001,600",Black,360,
Thermalright Silver Soul 135,34.9,1850,Black,,
Alpenföhn BLACK RIDGE,91.42,"8,002,800",Black,,
Corsair H100i RGB PLATINUM SE,,2200,White,240,
Deepcool AG620,39.99,"3,001,850",Black / Silver,,
Deepcool AK500,49.99,"5,001,850",Black / Silver,,
Thermalright Assassin King 120 MINI V2,19.89,1500,Black / Silver,,
Corsair H60 (2018),,1700,Black,120,
Thermalright Frost Commander 140,39.79,1800,White,,
ID-COOLING SE-225-XT,34.99,"7,001,800",Black,,
Thermaltake TH240 V2 ARGB Sync,84.99,"5,002,000",Black,240,
NZXT Kraken X73 RGB,279.99,"5,001,500",White / Black,360,
Iceberg Thermal IceFLOE OASIS 360,,"2,002,200",Black,360,
Asus ROG RYUJIN II ARGB,339.7,,Black,240,
Deepcool AK500 DIGITAL WH,64.99,"5,001,850",White,,
Cooler Master Hyper 622 Halo,64.98,"6,502,050",Black,,
Phanteks Glacier One 360MPH,330,"5,002,200",White,360,
ARCTIC Freezer 36 CO,35.99,"2,001,800",Black / Silver,,
Thermalright AXP120-X67,43.9,1800,Gray,,
Deepcool AG300,,"5,003,050",Black / Silver,,
Gigabyte AORUS WATERFORCE 360,169.99,"9,502,150",Black,360,
NZXT Kraken X53 RGB,250,"5,001,500",Black,240,
