name,price,memory,core_clock,color
Zotac GAMING AMP Extreme AIRO,2995,24,2235,Black / Silver
Inno3D Twin X2,,8,1830,Black / Silver
MSI GAMING X TRIO,699.99,8,1575,Black / Silver
MSI GAMING,,4,1140,Black / Red
PNY XLR8 Gaming VERTO EPIC-X RGB OC,829.99,16,2340,Black
Asus TUF GAMING OC V2,308.99,12,1320,Black
MSI GAMING X,247.25,4,1290,Black / Red
Gigabyte GAMING OC V2,1014.76,12,2310,Black
GALAX 1-Click OC 2X,,8,1830,Black
Asus ROG STRIX GAMING OC,1649.9,16,2205,White
Gigabyte GAMING OC,1229.27,12,1365,Black / Silver
MSI VENTUS 2X E OC,694.92,12,1920,Silver / Black
ASRock Phantom Gaming D,139.9,4,1168,Black
ASRock Challenger D OC,,12,2330,Black
Zotac GAMING Twin Edge,540.52,16,2310,Black
Asus TUF GAMING OC V2,929,10,1440,Black
NVIDIA Founders Edition,,6,1506,Black / Silver
Zotac GAMING Twin Edge OC,,8,1410,Black
XFX Speedster SWFT 309,,10,2132,Black
MSI AERO ITX OC,,12,1320,Black / Silver
Sapphire NITRO+,550.79,12,1700,Black
MSI GAMING X,499.99,8,1506,Black / Red
NVIDIA Founders Edition,978,11,1350,
GALAX EX (1-Click OC),,8,1830,Black
NVIDIA Founders Edition,,6,1365,Silver / Black
PNY VERTO,379.99,8,2310,Black
Gigabyte Vision OC,,8,1500,Silver
NVIDIA Founders Edition,,8,1607,Black / Silver
Acer Predator BiFrost OC,229.99,8,2050,Black
Asus TUF GAMING OC,,10,1440,Black
MSI GeForce RTX 3090 TI GAMING X TRIO 24G,1545.95,24,1560,Black
MSI GAMING X TRIO,1045,12,2310,Black
Inno3D Twin X2,346.7,12,1320,Black
Asus TUF GAMING OC,568.13,12,1700,Black
Gigabyte WINDFORCE,2149,24,2235,Black
Asus DUAL EVO,,6,1395,Black
Gainward Panther OC,,16,2210,Black
MSI GAMING X SLIM,779.99,12,2310,Black
MSI GAMING X TRIO,,16,2340,White / Silver
PowerColor Red Devil,571.26,12,2321,Black
Sapphire NITRO+,459,8,1257,Black
AMD 100-438385,,12,2321,Black / Silver
Inno3D Twin X2,,12,1980,Black / Silver
Asus ProArt OC,669.99,12,1980,Black / Gold
EVGA BLACK GAMING,1213.99,8,1650,Black
Zotac GAMING Trinity OC,799.99,12,2310,White
ASRock Phantom Gaming OC,449.99,12,1700,Black
Gigabyte GAMING OC,,12,1320,Black / Silver
Asus TUF GAMING OC,311.04,4,1530,Black
PowerColor Hellhound Sakura OC,599.99,16,1295,White / Pink
MSI VENTUS 2X OC,489.9,8,1410,Black / Silver
MSI GeForce GTX 1060 3G OCV1,,3,1544,Black / White
Asus ROG STRIX GAMING OC,899.99,8,1575,Black / Silver
Asus DUAL OC,330.71,8,1550,Black
ASRock Steel Legend OC,551.41,12,1700,White
EVGA FTW3 ULTRA GAMING,1549.95,24,1560,Black
Zotac GAMING Twin Edge OC,419.99,8,2310,White
Asus TUF GAMING OC,699.99,8,1575,Black / Silver
EVGA XC3 ULTRA GAMING,679.99,8,1575,Black
Gigabyte AORUS MASTER,699.99,12,1980,Black
PowerColor Red Devil,,8,1605,Black / Red
Gigabyte GAMING OC,,8,1605,Black
PNY VCQRTX8000-PB,3599.96,48,1395,Black / White
PNY XLR8 Gaming VERTO EPIC-X RGB OC,619.99,12,1980,Black
MSI MECH 2X OC,189.99,4,2310,Black / Silver
Zotac GAMING Trinity OC,,10,1440,Black
Asus ROG STRIX WHITE OC,1519.99,24,1395,White / Black
Sparkle ELF,119.99,6,2000,Blue / Black
PowerColor Red Devil OC,699.97,16,1825,Black
Zotac Twin Edge OC,559.99,12,1920,Black
MSI GAMING X,,6,1506,Black / Red
Asus STRIX LC GAMING OC,,16,1825,Black / Silver
Gigabyte D6 OC Rev 2.0,191.23,4,1410,Black / Silver
Sapphire NITRO+,,8,1770,Black / Silver
PNY RTX A-Series,979,16,735,Black / Gold
Gigabyte GAMING OC,,8,1470,Black
Gigabyte GV-N1030OC-2GI,107.44,2,1290,Black / Orange
Zotac Trinity Black Edition,649.99,12,1980,Black
Gigabyte EAGLE OC,868.82,12,1920,Black
PNY RTX A-Series,589.99,12,562,Black
Asus ProArt OC,364.99,8,1830,Black / Gold
Asus ROG STRIX,598.99,8,1670,Black
Asus DUAL EVO OC,608.16,12,1920,Black
GALAX EX Gamer,,12,1920,Black
PNY VERTO,259.99,8,1320,Black
Zotac GAMING Trinity OC,2279,24,2235,White
PNY VERTO,499.99,8,1575,Black
Gigabyte EAGLE OC,,16,2205,Black
XFX Speedster SWFT 210,399.99,8,2092,Black
Zotac GAMING Trinity OC,1307.48,12,1365,Black / Silver
AMD 100-300000074,3934.31,48,1855,Black
EVGA SC ULTRA GAMING,259.99,6,1530,Black
Zotac GAMING Twin Fan,219.99,6,1530,Black
Gigabyte EAGLE OC,409.99,8,2310,Black
MSI MECH 2X OC,832.5,12,2321,Black / Silver
Asus DUAL EVO OC,345,6,1365,Black
Palit Dual,696.49,12,1980,Black
NVIDIA Founders Edition,589,8,1607,Silver / Black
MSI Radeon RX 6900 XT GAMING X TRIO 16G,1011.33,16,1825,Silver / Black
MSI GAMING X,,11,1569,Black / Red
Asus ROG STRIX GAMING,1494.73,16,2210,Black
Gigabyte AORUS MASTER,583.12,8,1500,Black
Asus DUAL OC,,16,1270,Black
Asus DUAL OC,591.8,12,2150,Black / Silver
MSI VENTUS 2X OC,739,12,2310,White / Silver
EVGA SC GAMING,339,6,1365,Black
MSI AERO,819.99,16,2340,Black
MSI GeForce RTX 3090 GAMING X TRIO 24G,1299.99,24,1395,Black
Palit Dual,354.56,12,1320,Black
